City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Ostrovnoy,RU,68.0531,39.5131,14.16,92,93,6.58,overcast clouds
79,Portland,US,45.5234,-122.6762,55.74,72,100,13.0,overcast clouds
80,Mahebourg,MU,-20.4081,57.7,79.25,83,39,13.98,light rain
81,Genhe,CN,50.7833,121.5167,27.09,44,89,7.56,overcast clouds
82,Hambantota,LK,6.1241,81.1185,78.22,84,8,2.24,clear sky
83,Witu,KE,-2.3889,40.4382,82.56,87,53,5.41,broken clouds
84,Klyuchi,RU,52.2667,79.1667,39.15,79,100,7.45,overcast clouds
85,Mitu,CO,1.1983,-70.1733,72.93,96,94,1.19,overcast clouds
86,Ilulissat,GL,69.2167,-51.1,21.22,86,32,0.0,scattered clouds
87,Carnarvon,AU,-24.8667,113.6333,78.87,78,40,11.5,scattered clouds
88,Farrukhnagar,IN,17.0778,78.2011,74.91,37,98,6.55,overcast clouds
89,Puerto Escondido,MX,15.85,-97.0667,79.63,78,0,5.75,clear sky
90,Mashhad,IR,36.297,59.6062,57.34,41,0,6.91,clear sky
91,Fairbanks,US,64.8378,-147.7164,28.24,57,0,9.22,clear sky
92,Suntar,RU,62.1444,117.6319,14.86,88,100,6.17,overcast clouds
93,Suluq,LY,31.6682,20.2521,66.92,40,0,21.3,clear sky
94,Longyearbyen,SJ,78.2186,15.6401,8.44,52,20,23.02,few clouds
95,Iqaluit,CA,63.7506,-68.5145,19.13,79,75,11.5,broken clouds
96,Barabai,ID,-2.5833,115.3833,80.55,86,80,1.74,broken clouds
97,Bratsk,RU,56.1325,101.6142,19.89,76,99,5.28,overcast clouds
98,Salinopolis,BR,-0.6136,-47.3561,78.84,86,100,7.9,light rain
99,Guerrero Negro,MX,27.9769,-114.0611,62.22,62,0,15.3,clear sky
100,Bengkulu,ID,-3.8004,102.2655,78.84,72,36,3.02,scattered clouds
101,Izmit,TR,40.7669,29.9169,37.38,93,40,2.3,scattered clouds
102,Quatre Cocos,MU,-20.2078,57.7625,79.09,85,36,13.02,light rain
103,Dingle,PH,10.9995,122.6711,83.21,71,99,12.35,overcast clouds
104,Oistins,BB,13.0667,-59.5333,78.89,69,40,19.57,scattered clouds
105,Saint George,US,37.1041,-113.5841,73.63,25,0,8.01,clear sky
106,Cabo San Lucas,MX,22.8909,-109.9124,72.61,72,0,14.97,clear sky
107,Kahului,US,20.8947,-156.47,80.62,67,40,32.21,scattered clouds
108,Marzuq,YE,14.4,46.4667,65.98,31,6,3.62,clear sky
109,Cururupu,BR,-1.8283,-44.8683,75.06,95,93,3.29,overcast clouds
110,Lorengau,PG,-2.0226,147.2712,84.74,68,67,4.9,broken clouds
111,Maniitsoq,GL,65.4167,-52.9,28.24,84,9,5.17,clear sky
112,Hasaki,JP,35.7333,140.8333,52.2,84,100,20.36,overcast clouds
113,Byron Bay,AU,-28.65,153.6167,72.95,71,99,4.23,overcast clouds
114,Shillong,IN,25.5689,91.8831,59.99,90,65,8.21,broken clouds
115,Arraial Do Cabo,BR,-22.9661,-42.0278,76.57,87,3,4.38,clear sky
116,Araouane,ML,18.9048,-3.5265,83.75,14,0,5.68,clear sky
117,Nelson Bay,AU,-32.7167,152.15,77.09,61,1,6.73,clear sky
118,Cavnic,RO,47.6667,23.8667,22.19,97,61,1.54,broken clouds
119,Clyde River,CA,70.4692,-68.5914,10.63,92,100,9.22,overcast clouds
120,Guayaramerin,BO,-10.8368,-65.3614,74.55,81,8,1.36,clear sky
121,Ossora,RU,59.2353,163.0719,26.89,67,10,3.02,clear sky
122,Nagapattinam,IN,10.7667,79.8333,79.29,81,66,2.91,broken clouds
123,Biak,ID,-0.9131,122.8766,81.59,75,90,2.46,overcast clouds
124,Giyani,ZA,-23.3025,30.7187,73.6,59,91,2.91,overcast clouds
125,Malkangiri,IN,18.35,81.9,76.55,63,68,1.1,broken clouds
126,Okha,RU,53.5739,142.9478,38.43,92,29,13.31,scattered clouds
127,Kutoarjo,ID,-7.7169,109.9128,80.69,77,77,0.87,broken clouds
128,Narsaq,GL,60.9167,-46.05,39.42,87,42,3.58,scattered clouds
129,Buraydah,SA,26.326,43.975,66.65,13,87,8.84,overcast clouds
130,Diego De Almagro,CL,-26.3667,-70.05,62.91,36,0,0.34,clear sky
131,Coquimbo,CL,-29.9533,-71.3436,56.93,100,0,5.75,clear sky
132,Bredasdorp,ZA,-34.5322,20.0403,58.71,92,27,3.09,scattered clouds
133,Yulara,AU,-25.2406,130.9889,76.66,19,0,5.06,clear sky
134,Edremit,TR,39.5961,27.0244,44.35,81,40,3.44,scattered clouds
135,Kavaratti,IN,10.5669,72.642,82.47,70,46,6.53,scattered clouds
136,Bethel,US,41.3712,-73.414,41.52,90,97,10.0,overcast clouds
137,Chokurdakh,RU,70.6333,147.9167,-3.51,92,96,3.62,overcast clouds
138,Saint-Marc-Des-Carrieres,CA,46.6834,-72.0491,39.27,48,100,5.75,overcast clouds
139,Rodez,FR,44.5,2.5833,31.68,80,100,5.75,overcast clouds
140,Butaritari,KI,3.0707,172.7902,81.39,72,97,11.92,overcast clouds
141,Vaini,TO,-21.2,-175.2,78.96,89,75,6.91,broken clouds
